ﾎﾟｲﾝﾄ名称,距離(m),形成時代,大区分,岩相
15+98.000       ,0.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
15+99.000       ,1.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16              ,2.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+1.000        ,3.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+2.000        ,4.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+3.000        ,5.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+4.000        ,6.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+5.000        ,7.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+6.000        ,8.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+7.000        ,9.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+8.000        ,10.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+9.000        ,11.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+10.000       ,12.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+11.000       ,13.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+12.000       ,14.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+13.000       ,15.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+14.000       ,16.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+15.000       ,17.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+16.000       ,18.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+17.000       ,19.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+18.000       ,20.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+19.000       ,21.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+20.000       ,22.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+21.000       ,23.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+22.000       ,24.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+23.000       ,25.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+24.000       ,26.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+25.000       ,27.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+26.000       ,28.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+27.000       ,29.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+28.000       ,30.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+29.000       ,31.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
