,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,変位量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終変位量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
0,2007-01-16,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,1.3125,0,-0.05,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.75,0,1,0,0,0,-1,-1,0.02350000000000004,train
1,2007-01-17,5.0,4.0,STA 654+78,4.3385,7.6805,3.34,1,-0.55,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,3.25,0,1,0,0,0,-1,-1,-0.6214999999999996,train
2,2007-01-18,5.0,4.0,STA 654+78,4.3405000000000005,9.98,5.6395,2,0.25,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.45,0,1,0,0,0,-1,-1,-0.3969999999999999,train
3,2007-01-19,5.0,4.0,STA 654+78,4.339,12.3295,7.988999999999999,3,0.45000000000000007,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.25,0,1,0,0,0,-1,-1,-0.42800000000000005,train
4,2007-01-20,5.0,4.0,STA 654+78,,13.0,8.6595,4,0.25,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.45,0,1,0,0,0,-1,-1,0.2179999999999999,train
5,2007-01-22,5.0,4.0,STA 654+78,4.339,13.0,8.6595,6,0.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.0,0,1,0,0,0,-1,-1,0.4830000000000001,train
6,2007-01-23,5.0,4.0,STA 654+78,4.338,13.0,8.6595,7,0.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.4000000000000004,0,1,0,0,0,-1,-1,0.31750000000000006,train
7,2007-01-25,5.0,4.0,STA 654+78,4.339,13.0,8.6595,9,-0.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.8000000000000003,0,1,0,0,0,-1,-1,-0.09149999999999983,train
8,2007-01-26,5.0,4.0,STA 654+78,4.338,14.903,10.5625,10,-0.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,3.2,0,1,0,0,0,-1,-1,-1.8744999999999996,train
9,2007-01-27,5.0,4.0,STA 654+78,4.337,17.509,13.1685,11,0.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.0,0,1,0,0,0,-1,-1,-0.12950000000000017,train
10,2007-01-29,5.0,4.0,STA 654+78,4.337,19.512,15.1715,13,0.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.1,0,1,0,0,0,-1,-1,-1.1725000000000012,train
11,2007-01-30,5.0,4.0,STA 654+78,4.336,21.083,16.7425,14,3.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-0.3999999999999999,0,1,0,0,0,-1,-1,1.5429999999999982,train
12,2007-01-31,5.0,4.0,STA 654+78,4.337,22.0,17.6595,15,0.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.2,0,1,0,0,0,-1,-1,-0.1479999999999999,train
13,2007-02-01,5.0,4.0,STA 654+78,4.336,24.006,19.6655,16,-0.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.8000000000000003,0,1,0,0,0,-1,-1,-0.24150000000000016,train
14,2007-02-02,5.0,4.0,STA 654+78,4.337,27.531,23.1905,17,1.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,1.6,0,1,0,0,0,-1,-1,0.49350000000000016,train
15,2007-02-03,5.0,4.0,STA 654+78,4.336,29.437,25.0965,18,0.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,2.1,0,1,0,0,0,-1,-1,0.20850000000000007,train
16,2007-02-05,5.0,4.0,STA 654+78,4.337,30.456,26.115499999999997,20,2.3,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,0.40000000000000036,0,1,0,0,0,-1,-1,0.10300000000000012,train
17,2007-02-07,5.0,4.0,STA 654+78,4.338,33.058,28.7175,22,3.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-0.2999999999999998,0,1,0,0,0,-1,-1,0.9189999999999999,train
18,2007-02-08,5.0,4.0,STA 654+78,4.337,38.906,34.5655,23,3.4,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-0.6999999999999997,0,1,0,0,0,-1,-1,0.018000000000000096,train
19,2007-02-10,5.0,4.0,STA 654+78,,45.963,41.6225,25,3.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.0,0,1,0,0,0,-1,-1,0.9030000000000012,train
20,2007-02-12,5.0,4.0,STA 654+78,4.338,48.731,44.3905,27,4.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.3999999999999995,0,1,0,0,0,-1,-1,2.1379999999999972,train
21,2007-02-13,5.0,4.0,STA 654+78,4.337,51.819,47.478500000000004,28,4.4,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.7000000000000002,0,1,0,0,0,-1,-1,0.047000000000000146,train
22,2007-02-15,5.0,4.0,STA 654+78,4.335,58.45,54.109500000000004,30,4.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-2.0999999999999996,0,1,0,0,0,-1,-1,1.3419999999999994,train
23,2007-02-16,5.0,4.0,STA 654+78,4.339,61.792,57.4515,31,4.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-2.0999999999999996,0,1,0,0,0,-1,-1,2.336500000000003,train
24,2007-02-22,5.0,4.0,STA 654+78,4.338,76.794,72.45349999999999,37,4.2,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.5,0,1,0,0,0,-1,-1,1.2480000000000013,train
25,2007-02-24,5.0,4.0,STA 654+78,4.341,81.0,76.6595,39,4.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.3999999999999995,0,1,0,0,0,-1,-1,2.0779999999999985,train
26,2007-02-25,5.0,4.0,STA 654+78,4.342,81.0,76.6595,40,3.1,200,250,8.0,4.000,420,12.0,3.0,29.0,31.75,,,,,坑口-2(断熱材あり）,,4.0,2.0,4.0,3.0,0.0,1.0,1.0,48.0,-0.3999999999999999,0,0,0,0,0,-1,0,2.5499999999999976,train
27,2007-02-26,5.0,4.0,STA 654+78,,81.0,76.6595,41,3.3499999999999996,200,250,8.0,4.000,420,12.0,3.0,29.0,31.75,,,,,坑口-2(断熱材あり）,,4.0,2.0,4.0,3.0,0.0,1.0,1.0,48.0,-0.6499999999999995,0,0,0,0,0,-1,0,3.2745000000000015,train
28,2007-02-27,5.0,4.0,STA 654+78,4.3415,81.0,76.6595,42,3.6500000000000004,200,250,8.0,4.000,420,12.0,3.0,29.0,31.75,,,,,坑口-2(断熱材あり）,,4.0,2.0,4.0,3.0,0.0,1.0,1.0,48.0,-0.9500000000000002,0,0,0,0,0,-1,0,3.433499999999999,train
29,2007-02-28,5.0,4.0,STA 654+78,,81.498,77.1575,43,3.5,200,250,8.0,4.000,420,12.0,3.0,29.0,31.75,,,,,坑口-2(断熱材あり）,,4.0,2.0,4.0,3.0,0.0,1.0,1.0,48.0,-0.7999999999999998,0,0,0,0,0,-1,0,2.491,train
30,2007-03-01,5.0,4.0,STA 654+78,,82.931,78.59049999999999,44,3.3,200,250,8.0,4.000,420,10.0,2.0,31.0,26.25,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,4.0,4.0,4.0,4.0,0.0,2.0,3.0,18.0,-0.5999999999999996,0,1,0,0,0,-1,-1,1.4199999999999995,train
31,2007-03-03,5.0,4.0,STA 654+78,4.346,88.485,84.1445,46,3.1,200,250,8.0,4.000,420,10.0,2.0,31.0,26.25,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,4.0,4.0,4.0,4.0,0.0,2.0,3.0,18.0,-0.3999999999999999,0,1,0,0,0,-1,-1,1.4329999999999987,train
32,2007-03-05,5.0,4.0,STA 654+78,,91.316,86.9755,48,2.9,200,250,8.0,4.000,420,10.0,2.0,31.0,26.25,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,4.0,4.0,4.0,4.0,0.0,2.0,3.0,18.0,-0.19999999999999973,0,1,0,0,0,-1,-1,1.5830000000000017,train
33,2007-03-07,5.0,4.0,STA 654+78,,100.552,96.2115,50,2.7,200,250,8.0,4.000,420,10.0,2.0,31.0,26.25,AGF,,,,坑口-2(断熱材あり）,坑口-2(断熱材あり）,4.0,4.0,4.0,4.0,0.0,2.0,3.0,18.0,0.0,0,1,0,0,0,-1,-1,1.222500000000001,train
34,2007-01-18,10.0,9.0,STA 654+73,9.411,10.438,1.027000000000001,0,0.0,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,0.1,0,1,0,0,0,-1,-1,0.016000000000000004,train
35,2007-01-19,10.0,9.0,STA 654+73,9.410499999999999,12.331,2.92,1,1.5499999999999998,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.4499999999999997,0,1,0,0,0,-1,-1,0.23350000000000037,train
36,2007-01-20,10.0,9.0,STA 654+73,,13.0,3.5890000000000004,2,1.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,4.0,4.0,4.0,3.0,0.0,1.0,1.0,32.0,-1.4,0,1,0,0,0,-1,-1,0.45699999999999996,train
