Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
654+82.000      ,0,-102078.389,-10270.89403,52.635,249.5577778,0.859372244
654+81.000      ,1,-102078.7383,-10271.83106,52.65,249.5577778,0.859372244
654+80.000      ,2,-102079.0875,-10272.76808,52.665,249.5577778,0.859372244
654+79.000      ,3,-102079.4368,-10273.70511,52.68,249.5577778,0.859372244
654+78.000      ,4,-102079.786,-10274.64213,52.695,249.5577778,0.859372244
654+77.000      ,5,-102080.1353,-10275.57916,52.71,249.5577778,0.859372244
654+76.000      ,6,-102080.4846,-10276.51618,52.725,249.5577778,0.859372244
654+75.000      ,7,-102080.8338,-10277.45321,52.74,249.5577778,0.859372244
654+74.000      ,8,-102081.1831,-10278.39023,52.755,249.5577778,0.859372244
654+73.000      ,9,-102081.5324,-10279.32726,52.77,249.5577778,0.859372244
654+72.000      ,10,-102081.8816,-10280.26428,52.785,249.5577778,0.859372244
654+71.000      ,11,-102082.2309,-10281.20131,52.8,249.5577778,0.859372244
654+70.000      ,12,-102082.5801,-10282.13833,52.815,249.5577778,0.859372244
654+69.000      ,13,-102082.9294,-10283.07536,52.83,249.5577778,0.859372244
654+68.000      ,14,-102083.2787,-10284.01238,52.845,249.5577778,0.859372244
654+67.000      ,15,-102083.6279,-10284.94941,52.86,249.5577778,0.859372244
654+66.000      ,16,-102083.9772,-10285.88643,52.875,249.5577778,0.859372244
654+65.000      ,17,-102084.3265,-10286.82346,52.89,249.5577778,0.859372244
654+64.000      ,18,-102084.6757,-10287.76048,52.905,249.5577778,0.859372244
654+63.000      ,19,-102085.025,-10288.69751,52.92,249.5577778,0.859372244
654+62.000      ,20,-102085.3742,-10289.63453,52.935,249.5577778,0.859372244
654+61.000      ,21,-102085.7235,-10290.57156,52.95,249.5577778,0.859372244
654+60.000      ,22,-102086.0728,-10291.50858,52.965,249.5577778,0.859372244
654+59.000      ,23,-102086.422,-10292.44561,52.98,249.5577778,0.859372244
654+58.000      ,24,-102086.7713,-10293.38263,52.995,249.5577778,0.859372244
654+57.000      ,25,-102087.1206,-10294.31966,53.01,249.5577778,0.859372244
654+56.000      ,26,-102087.4698,-10295.25668,53.025,249.5577778,0.859372244
654+55.000      ,27,-102087.8191,-10296.19371,53.04,249.5577778,0.859372244
654+54.000      ,28,-102088.1683,-10297.13073,53.055,249.5577778,0.859372244
