ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
509,563,STA 649+19,626.232275390625,126,2007/09/20 07:57:02,2007/09/20 07:57:35,2007/09/20 07:58:09,2007/09/21 12:10:42,2007/09/21 12:11:10,1899/12/30 00:00:00,1899/12/30 00:00:00,-102324.591426097,-10846.2088263375,69.7045087007575,-102330.439641128,-10843.3992129589,65.1454363473003,-102318.175597097,-10849.3296970477,64.993417845941,-102330.714111837,-10843.1787014553,62.8897688285318,-102317.919003891,-10849.4369940816,62.8905065816538,,,,,,,-102324.590394039,-10846.212801882,69.7004783505918,-102330.435208849,-10843.4024360579,65.1425707666237,-102318.173617284,-10849.3289250657,64.9899356749749,-102330.715100859,-10843.1793856592,62.8929486185196,-102317.921403566,-10849.4382590767,62.8925344410859,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
563,627,STA 648+55,2007/09/20 07:59:00,626.232,627.325,0,0,0,,,,0,0,0,0,0,0,,,0,0,-102324.5912,-10846.2088,69.7048,-102330.4397,-10843.3991,65.1444,-102318.1753,-10849.3301,64.9936,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/20 18:19:00,626.231,627.583,-0.8,-1.3,-4.4,,,,0,0,0,-2.1,-1.6,-2.6,,,0,0,-102324.595,-10846.206,69.705,-102330.4405,-10843.3954,65.1443,-102318.1811,-10849.3253,64.9928,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.1,-1.6,-2.6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/21 12:13:00,626.232,629.074,-1.2,-1.2,-4.9,0,1.8,-6.7,0,0,0,-2.5,-3.4,-3.9,0,0,0,0,-102324.5871,-10846.211,69.702,-102330.4341,-10843.4003,65.142,-102318.1709,-10849.33,64.9895,-102330.7146,-10843.1782,62.8903,-102317.9208,-10849.437,62.8909,,,,,,,0,0,0,0,0,0,0,,,-2.5,-3.4,-3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/22 10:20:00,626.232,633.758,-1.5,-2.3,-4.2,-0.9,1.8,-6.7,0,0,0,-3.6,-3.8,-3.8,-1.3,-0.2,0,0,-102324.5871,-10846.211,69.702,-102330.4341,-10843.4003,65.142,-102318.1709,-10849.33,64.9895,-102330.7146,-10843.1782,62.8903,-102317.9208,-10849.437,62.8909,,,,,,,0,0,0,0,0,0,0,,,-3.6,-3.8,-3.8,-1.3,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/24 18:35:00,626.232,639.013,-2.6,-3.3,-3.9,-1.9,1.8,-6.7,0,0,0,-3.3,-4.1,-3.9,-1.1,-1.6,0,0,-102324.5871,-10846.211,69.702,-102330.4341,-10843.4003,65.142,-102318.1709,-10849.33,64.9895,-102330.7146,-10843.1782,62.8903,-102317.9208,-10849.437,62.8909,,,,,,,0,0,0,0,0,0,0,,,-3.3,-4.1,-3.9,-1.1,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/26 18:33:00,626.233,648.133,-2.1,-2.2,-4.3,-3.3,-2.2,-6.8,0,0,0,-3.8,-3.4,-4.3,-1.6,-1.5,0,0,-102324.5952,-10846.2073,69.7008,-102330.4416,-10843.3993,65.1421,-102318.1791,-10849.3267,64.9891,-102330.7201,-10843.1769,62.8912,-102317.9274,-10849.4327,62.8909,,,,,,,0,0,0,0,0,0,0,,,-3.8,-3.4,-4.3,-1.6,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/27 11:21:00,626.232,650.87,-3.2,-0.3,-3.8,-2.2,-1.9,-6.1,0,0,0,-4.2,-3.4,-4.5,-1.6,-2.6,0,0,-102324.6005,-10846.2043,69.7003,-102330.4456,-10843.3959,65.1421,-102318.1847,-10849.324,64.9889,-102330.7252,-10843.173,62.8906,-102317.9318,-10849.43,62.8905,,,,,,,0,0,0,0,0,0,0,,,-4.2,-3.4,-4.5,-1.6,-2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/09/28 18:19:00,626.234,654.8,-2.6,-0.6,-3.5,-1.9,-1.5,-6.8,0,0,0,-4.6,-4.4,-6.2,-1.9,-2,0,0,-102324.577,-10846.2174,69.6999,-102330.4229,-10843.4098,65.1411,-102318.1597,-10849.3338,64.989,-102330.7027,-10843.1869,62.8901,-102317.9085,-10849.4427,62.8908,,,,,,,0,0,0,0,0,0,0,,,-4.6,-4.4,-6.2,-1.9,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/10/01 17:29:00,626.207,654.8,-2.8,-1.7,-3.2,-1.4,-1.8,-6.3,0,0,0,-7.3,-6.7,-8.2,-1.9,-2.5,0,0,-102324.578,-10846.1879,69.6972,-102330.4237,-10843.38,65.1388,-102318.1612,-10849.3064,64.9852,-102330.7033,-10843.1568,62.8878,-102317.9089,-10849.4135,62.888,,,,,,,0,0,0,0,0,0,0,,,-7.3,-6.7,-8.2,-1.9,-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,627,STA 648+55,2007/10/03 17:58:00,626.233,657.542,-2.3,-1.5,-3.4,-1.6,-0.3,-6.4,0,0,0,-6.3,-6.3,-8.1,-2.6,-2.2,0,0,-102324.5929,-10846.2085,69.6983,-102330.4388,-10843.4006,65.1391,-102318.1767,-10849.3272,64.9854,-102330.7187,-10843.1773,62.8872,-102317.9247,-10849.4342,62.8883,,,,,,,0,0,0,0,0,0,0,,,-6.3,-6.3,-8.1,-2.6,-2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
