ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
828,944,STA 645+38,1065.63022460937,1029.5,2008/04/18 18:06:14,2008/04/18 18:06:50,2008/04/18 18:07:21,2008/04/19 15:40:15,2008/04/19 15:41:04,1899/12/30 00:00:00,1899/12/30 00:00:00,-102493.874765846,-11251.0320082193,74.9378574502767,-102499.369544495,-11249.3117515891,70.861640614552,-102488.406449118,-11252.6114801131,70.9434982333935,-102499.633140725,-11249.1556472009,68.8176345298996,-102488.07414198,-11252.7302622437,68.8284262238426,,,,,,,-102493.858619358,-11251.0350633498,74.935394465737,-102499.353341071,-11249.320600842,70.8636729153125,-102488.391589768,-11252.6112219827,70.9426136964473,-102499.610400767,-11249.1516939131,68.8156521182104,-102488.029181227,-11252.7122044622,68.8031434949079,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
944,1066,STA 644+15.85,2008/04/18 18:11:00,1065.631,1066.01,0,0,0,,,,0,0,0,0,0,0,,,0,0,-102493.8744,-11251.0327,74.9377,-102499.3696,-11249.3117,70.8607,-102488.4072,-11252.6115,70.9439,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/19 15:43:00,1065.631,1068.636,-1.3,-3.6,-4.9,0,-4.9,1.6,0,0,0,-2.9,-1.2,-3.2,0,0,0,0,-102493.8783,-11251.0319,74.935,-102499.3725,-11249.3107,70.8605,-102488.4139,-11252.6084,70.9403,-102499.6335,-11249.1554,68.8187,-102488.0727,-11252.7304,68.8282,,,,,,,0,0,0,0,0,0,0,,,-2.9,-1.2,-3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/21 17:32:00,1065.631,1070.98,-3.3,-2.5,-4.3,1.3,-4.7,2.3,0,0,0,-2.3,0.1,-3.8,-1.5,1.5,0,0,-102493.8727,-11251.0333,74.9371,-102499.3628,-11249.3099,70.8617,-102488.4072,-11252.6109,70.9425,-102499.6274,-11249.1591,68.8193,-102488.0664,-11252.7319,68.8299,,,,,,,0,0,0,0,0,0,0,,,-2.3,0.1,-3.8,-1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/21 17:57:00,1065.632,1071.043,-3.5,-2.5,-4.2,0.6,-5.7,2.2,0,0,0,-3.6,0.9,-4.1,-2.6,2.1,0,0,-102493.8813,-11251.0317,74.9371,-102499.3718,-11249.3082,70.8626,-102488.4152,-11252.6086,70.9431,-102499.6341,-11249.1548,68.8198,-102488.0746,-11252.7302,68.8305,,,,,,,0,0,0,0,0,0,0,,,-3.6,0.9,-4.1,-2.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/22 18:41:00,1065.634,1075.337,-3.4,-1.5,-4.4,1.2,0.1,31.5,0,0,0,-4.4,-2,-4.3,-7.4,2,0,0,-102493.8715,-11251.0365,74.9335,-102499.3629,-11249.3141,70.8596,-102488.4036,-11252.6108,70.9392,-102499.6221,-11249.1457,68.8103,-102488.0431,-11252.7141,68.8004,,,,,,,0,0,0,0,0,0,0,,,-4.4,-2,-4.3,-7.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/23 17:06:00,1065.631,1079.82,-2.6,-2.6,-3.9,1,,33.4,0,0,0,-4.3,-2.1,-4.2,-6.8,2.2,0,0,-102493.8809,-11251.0306,74.9353,-102499.3722,-11249.3088,70.8595,-102488.4143,-11252.6063,70.9415,,,,-102488.0522,-11252.7107,68.8006,,,,,,,0,0,0,0,0,0,0,,,-4.3,-2.1,-4.2,-6.8,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/04/24 18:44:00,1065.631,1084.947,-3.4,-1.5,-3.8,0.7,-1.1,33,0,0,0,-5.4,-2.7,-4.9,-7.3,0.7,0,0,-102493.8689,-11251.035,74.9324,-102499.3608,-11249.3133,70.8589,-102488.4008,-11252.6098,70.9386,-102499.6196,-11249.1463,68.8104,-102488.0388,-11252.7139,68.7991,,,,,,,0,0,0,0,0,0,0,,,-5.4,-2.7,-4.9,-7.3,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/07 16:57:00,1065.629,1091.498,-3.2,-1.6,-3.9,1.5,-0.6,32.9,0,0,0,-5.4,-1.4,-3.5,-5.4,3.1,0,0,-102493.883,-11251.0284,74.9345,-102499.3754,-11249.309,70.8603,-102488.4155,-11252.6059,70.941,-102499.6349,-11249.1416,68.8122,-102488.0532,-11252.7087,68.8016,,,,,,,0,0,0,0,0,0,0,,,-5.4,-1.4,-3.5,-5.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/07 17:07:00,1065.631,1091.506,-3.2,-1.6,-3.9,1.4,-1,33.2,0,0,0,-5.4,-1.4,-3.5,-5.4,3.1,0,0,-102493.8815,-11251.0311,74.9373,-102499.3737,-11249.3118,70.8632,-102488.4146,-11252.6086,70.944,-102499.6334,-11249.1444,68.8155,-102488.0519,-11252.7119,68.8039,,,,,,,0,0,0,0,0,0,0,,,-5.4,-1.4,-3.5,-5.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/08 12:34:00,1065.632,1093.313,-3.3,-2.2,-3.9,0.6,-1,32.6,0,0,0,-5.2,-1.1,-3.1,-5.4,3.8,0,0,-102493.8769,-11251.0328,74.9375,-102499.369,-11249.3138,70.8635,-102488.4096,-11252.6093,70.9434,-102499.6284,-11249.1461,68.8155,-102488.0474,-11252.7126,68.8045,,,,,,,0,0,0,0,0,0,0,,,-5.2,-1.1,-3.1,-5.4,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/09 17:24:00,1065.632,1099.08,-2.9,-2.2,-3.4,2,-0.2,32.6,0,0,0,-5.8,-1,-4.3,-6.1,3.5,0,0,-102493.8748,-11251.0341,74.9369,-102499.368,-11249.3149,70.8636,-102488.408,-11252.6105,70.9441,-102499.6273,-11249.1466,68.8148,-102488.0452,-11252.7144,68.8042,,,,,,,0,0,0,0,0,0,0,,,-5.8,-1,-4.3,-6.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/10 16:38:00,1065.631,1102.282,-3.1,-2,-3.2,0.9,-1.5,32.1,0,0,0,-4.9,-1.2,-4.6,-5.4,3.4,0,0,-102493.8824,-11251.0306,74.9365,-102499.3757,-11249.3124,70.8635,-102488.4157,-11252.6085,70.9438,-102499.6343,-11249.1439,68.8156,-102488.0533,-11252.7113,68.8041,,,,,,,0,0,0,0,0,0,0,,,-4.9,-1.2,-4.6,-5.4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/12 17:44:00,1065.631,1105.147,-2.6,-1.6,-3.8,0.2,-0.9,32.2,0,0,0,-5.6,-2.3,-4.6,-6.9,2.1,0,0,-102493.8837,-11251.0302,74.936,-102499.3777,-11249.3129,70.8624,-102488.4174,-11252.6097,70.9427,-102499.6356,-11249.1435,68.814,-102488.0552,-11252.7105,68.8029,,,,,,,0,0,0,0,0,0,0,,,-5.6,-2.3,-4.6,-6.9,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/13 18:25:00,1065.631,1110.083,-2.6,-2.2,-3.1,0.9,-0.8,31.8,0,0,0,-5.7,-2.3,-3.9,-6.5,2.7,0,0,-102493.8891,-11251.0289,74.9359,-102499.3831,-11249.3109,70.8628,-102488.4229,-11252.6069,70.9429,-102499.6413,-11249.1413,68.8145,-102488.0605,-11252.7094,68.8034,,,,,,,0,0,0,0,0,0,0,,,-5.7,-2.3,-3.9,-6.5,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/14 17:25:00,1065.631,1114.683,-3.1,-2.2,-3.5,0.3,-1.5,32,0,0,0,-5.6,-2.9,-3.8,-6.6,1.9,0,0,-102493.88,-11251.0313,74.9368,-102499.3738,-11249.3141,70.8638,-102488.4141,-11252.6102,70.9439,-102499.6319,-11249.1447,68.8157,-102488.0513,-11252.7114,68.8039,,,,,,,0,0,0,0,0,0,0,,,-5.6,-2.9,-3.8,-6.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/17 16:19:00,1065.633,1123.598,-3.5,-2.1,-3.2,0.3,-0.7,31.7,0,0,0,-6.1,-2.4,-3.4,-6.2,1.6,0,0,-102493.8736,-11251.0353,74.9365,-102499.3665,-11249.3136,70.8635,-102488.4066,-11252.61,70.9431,-102499.6257,-11249.1473,68.815,-102488.045,-11252.7134,68.8035,,,,,,,0,0,0,0,0,0,0,,,-6.1,-2.4,-3.4,-6.2,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/20 18:30:00,,1130.5,-3.2,-2.5,-3.6,0.3,,,0,0,0,-5.9,-2.6,-4.1,-6.3,1.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9,-2.6,-4.1,-6.3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/05/27 17:15:00,,1140.281,-2.9,-1.9,-3.9,0.5,,,0,0,0,-5.8,-2.1,-4.2,-6.9,1.6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.8,-2.1,-4.2,-6.9,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/06/04 16:38:00,,1157.401,-3.1,-2.1,-3.3,-0.2,,,0,0,0,-6.4,-2.3,-3.8,-6.2,1.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.4,-2.3,-3.8,-6.2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/07/15 15:28:00,1065.635,1163.3,-3.5,-1.9,-3,-0.4,-1.9,32.6,0,0,0,-6.3,-2.8,-4.5,-6.9,0.8,0,0,-102493.8957,-11251.0303,74.9344,-102499.3878,-11249.3083,70.8618,-102488.4275,-11252.6044,70.942,-102499.646,-11249.1385,68.814,-102488.0655,-11252.708,68.8016,,,,,,,0,0,0,0,0,0,0,,,-6.3,-2.8,-4.5,-6.9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/07/18 11:06:00,1065.628,1163.3,-3.1,-1.8,-2.1,-1.4,-2.5,31.7,0,0,0,-6.8,-2.8,-4.2,-6.7,0.4,0,0,-102493.8636,-11251.0328,74.9357,-102499.3591,-11249.3175,70.8635,-102488.3971,-11252.6108,70.9426,-102499.6152,-11249.1478,68.8152,-102488.0353,-11252.711,68.8025,,,,,,,0,0,0,0,0,0,0,,,-6.8,-2.8,-4.2,-6.7,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
944,1066,STA 644+15.85,2008/07/26 16:49:00,1065.628,1163.3,-3.8,-2.1,-3.1,-0.9,-3.2,31.5,0,0,0,-6.3,-3.1,-4.6,-6.7,0.1,0,0,-102493.8586,-11251.0351,74.9354,-102499.3533,-11249.3206,70.8637,-102488.3916,-11252.6112,70.9426,-102499.6104,-11249.1517,68.8157,-102488.0292,-11252.7122,68.8031,,,,,,,0,0,0,0,0,0,0,,,-6.3,-3.1,-4.6,-6.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
