"éxï€áÇ","StáÇÇP","StáÇ.2","íÖêFëOâÊëú","çÏã∆ópâÊëú","íÖêFå„âÊëú","ífñ âÊëúÇP","ífñ âÊëúÇQ","ó\îı","îN","åé","ì˙","ë™ì_ÇP","ë™ì_ÇQ","çBå˚Ç©ÇÁÇÃãóó£","ífñ î‘çÜ","éxï€ÉpÉ^Å[Éì","ìyîÌÇËçÇÇ≥","ä‚êŒñº","ínéøéûë„","ä‚êŒÉOÉãÅ[Év","ä‚êŒñºÉRÅ[Éh","ï‚èïçHñ@ÇÃèèå≥","ëùÇµéxï€çHÇÃèèå≥","Ç`ÅCÇaåvë™","åvë™èåèÅEèÛë‘ìô","ó\îı","ï≤êoÇÃóLñ≥ÅEèÛë‘","ÉCÉìÉoÅ[ÉgÇÃëÅä˙è·äQ","ç∂å®ÅEÇ`Å|ÇP","ç∂å®ÅEÇ`Å|ÇQ","ç∂å®ÅEÇ`Å|ÇR","ç∂å®ÅEà≥èkã≠ìx","ç∂å®ÅEÇaÅ|ÇP","ç∂å®ÅEÇaÅ|ÇQ","ç∂å®ÅEïóâªïœéø","ç∂å®ÅEÇbÅ|ÇP","ç∂å®ÅEÇbÅ|2","ç∂å®ÅEäÑñ⁄ä‘äu","ç∂å®ÅEÇcÅ|ÇP","ç∂å®ÅEÇcÅ|2","ç∂å®ÅEÇcÅ|3","ç∂å®ÅEäÑñ⁄èÛë‘","ç∂å®äÑñ⁄ÇÃï˚å¸ÅEíºäp","ç∂å®äÑñ⁄ÇÃï˚å¸ÅEïΩçs","ó\îı","ç∂å®ÅEóNêÖó ","ó\îı","ç∂å®ÅEóÚâª","ìVí[ÅEÇ`Å|ÇP","ìVí[ÅEÇ`Å|ÇQ","ìVí[ÅEÇ`Å|ÇR","ìVí[ÅEà≥èkã≠ìx","ìVí[ÅEÇaÅ|ÇP","ìVí[ÅEÇaÅ|ÇQ","ìVí[ÅEïóâªïœéø","ìVí[ÅEÇbÅ|ÇP","ìVí[ÅEÇbÅ|2","ìVí[ÅEäÑñ⁄ä‘äu","ìVí[ÅEÇcÅ|ÇP","ìVí[ÅEÇcÅ|2","ìVí[ÅEÇcÅ|3","ìVí[ÅEäÑñ⁄èÛë‘","ìVí[äÑñ⁄ÇÃï˚å¸ÅEíºäp","ìVí[äÑñ⁄ÇÃï˚å¸ÅEïΩçs","ó\îı","ìVí[ÅEóNêÖó ","ó\îı","ìVí[ÅEóÚâª","âEå®ÅEÇ`Å|ÇP","âEå®ÅEÇ`Å|ÇQ","âEå®ÅEÇ`Å|ÇR","âEå®ÅEà≥èkã≠ìx","âEå®ÅEÇaÅ|ÇP","âEå®ÅEÇaÅ|ÇQ","âEå®ÅEïóâªïœéø","âEå®ÅEÇbÅ|ÇP","âEå®ÅEÇbÅ|2","âEå®ÅEäÑñ⁄ä‘äu","âEå®ÅEÇcÅ|ÇP","âEå®ÅEÇcÅ|2","âEå®ÅEÇcÅ|3","âEå®ÅEäÑñ⁄èÛë‘","âEå®äÑñ⁄ÇÃï˚å¸ÅEíºäp","âEå®äÑñ⁄ÇÃï˚å¸ÅEïΩçs","ó\îı","âEå®ÅEóNêÖó ","ó\îı","âEå®ÅEóÚâª","éxï€ÉpÉ^Å[ÉìÇP","ÇrÇsÇ`ÇPÅ|ÇP","ÇrÇsÇ`ÇQÅ|ÇP","ífñ î‘çÜÇP","éxï€ÉpÉ^Å[Éì2","ÇrÇsÇ`ÇPÅ|ÇQ","ÇrÇsÇ`ÇQÅ|ÇQ","ífñ î‘çÜ2","éxï€ÉpÉ^Å[Éì3","ÇrÇsÇ`ÇPÅ|ÇR","ÇrÇsÇ`ÇQÅ|ÇR","ífñ î‘çÜ3","éxï€ÉpÉ^Å[Éì4","ÇrÇsÇ`ÇPÅ|ÇS","ÇrÇsÇ`ÇQÅ|ÇS","ífñ î‘çÜ4","éxï€ÉpÉ^Å[Éì5","ÇrÇsÇ`ÇPÅ|ÇT","ÇrÇsÇ`ÇQÅ|ÇT","ífñ î‘çÜ5","éxï€ÉpÉ^Å[Éì6","ÇrÇsÇ`ÇPÅ|ÇU","ÇrÇsÇ`ÇQÅ|ÇU","ífñ î‘çÜ6","ç∂å®ÅEï]âøì_","ìVí[ÅEï]âøì_","âEå®ÅEï]âøì_","â¡èdïΩãœï]âøì_","ÉRÉÅÉìÉgÇP","ÉRÉÅÉìÉgÇQ","ÉRÉÅÉìÉgÇR","ÉRÉÅÉìÉgÇS","à≥èkã≠ìxç∂å®","à≥èkã≠ìxíÜâõ","à≥èkã≠ìxâEå®","ïóâªïœéøç∂å®","ïóâªïœéøíÜâõ","ïóâªïœéøâEå®","äÑÇÍñ⁄ÇÃä‘äuç∂å®","äÑÇÍñ⁄ÇÃä‘äuíÜâõ","äÑÇÍñ⁄ÇÃä‘äuâEå®","äÑÇÍñ⁄ÇÃèÛë‘ç∂å®","äÑÇÍñ⁄ÇÃèÛë‘íÜâõ","äÑÇÍñ⁄ÇÃèÛë‘âEå®","óNêÖí≤êÆì_ç∂å®","óNêÖí≤êÆì_íÜâõ","óNêÖí≤êÆì_âEå®","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","654","79.0","C:\Documents and Settings\Administrator\ÉfÉXÉNÉgÉbÉv\êÿâHé ê^\3.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\temp\TMP0003.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\paint\P1c0003.JPG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","654","78.0","C:\Documents and Settings\Administrator\ÉfÉXÉNÉgÉbÉv\êÿâHé ê^\êÿâHáÇ4.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\temp\TMP0004.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\paint\P1c0004.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P2c0004.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P3c0004.JPG","1","2007","1","4","654","78","4","4","çBå˚-2(ífîMçﬁÇ†ÇËÅj","0","çªä‚","","2","31","","","","","","","","","","","5","","","3","","","4","","","","3","0","0","","1","","1","","","","4","","","3","","","3","","","","4","0","0","","1","","1","","","","5","","","3","","","4","","","","3","0","0","","1","","1","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","78","4","","0","0","0","","0","0","0","","0","0","0","","0","0","0","","0","0","0","30","37","30","33.5","","","","","6","13","6","6","6","6","6","12","6","12","6","12","0","0","0","êÿâHÇÕÇŸÇ⁄ëSñ íÉäåêFÇÃçªä‚Ç≈ç\ê¨Ç≥ÇÍÅAâEì•ëOïîÇÃçdéøïîÇèúÇ¢ÇƒÇÕÅAëSñ ïóâªÇ™íòÇµÇ≠ÅAã≠ìxÇ™í·â∫ÇµÇƒÇ¢ÇÈÅBìVí[Ç©ÇÁíÜäjïîÇ…Ç©ÇØÇƒÇÕÅAëÂñ⁄Ç≈äÑÇÍñ⁄Ç™ïîï™ìIÇ…äJå˚(1cmíˆìx)ÇµÇƒÇ®ÇËÅAå@çÌéûÇÕ50cmÅ`70cmëÂÇÃÉuÉçÉbÉNÇ≈îçÇ™ÇÍÇÈÅB","äÑÇÍñ⁄Ç…ÉVÉäÉJÉåÉWÉìêZìßÇµÇƒÇ¢ÇÈÇÃÇ™ämîFÇ≈Ç´ÇÈÅBíÜäjïîÇ©ÇÁì•ëOïîÇ…Ç®Ç¢ÇƒÇÕÅAäÑÇÍñ⁄Ç™ç◊Ç©Ç≠î≠íBÇµÅAîjç”Ç≥ÇÍÇƒÇ¢ÇÈÅAÉuÉåÅ[ÉJÅ[ÇÃÇÃÇ›êÊÇ≈óeà’Ç…çÌÇÈÇ±Ç∆Ç™Ç≈Ç´ÅAå@çÌå„ÇÃéûä‘ÇÃåoâﬂÇ…î∫Ç¢è≠ó ÇÃîßóéÇøÇ™Ç†ÇÈÅB","âEì•ëOïîÇ…Ç®Ç¢ÇƒÇÕÅAî‰ärìIçdéøÇ≈Ç†ÇËÅAÉnÉìÉ}Å[Ç≈í@Ç≠Ç∆Ç‚Ç‚îΩî≠"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","654","76.0","C:\Documents and Settings\Administrator\ÉfÉXÉNÉgÉbÉv\êÿâHé ê^\6.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\temp\TMP0006.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\paint\P1c0006.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P2c0006.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P3c0006.JPG","2","2007","1","16","654","76","6","6","çBå˚-2(ífîMçﬁÇ†ÇËÅj","3","çªä‚","","2","31","AGF","","","","","óLÅ@ì•ëOå@çÌéûÅAå@çÌêUìÆÇ…ÇÊÇËëÂâÚÇ™ïˆóéÅB(5m3)","","","","","5","","","4","","","4","","","","4","0","0","","1","","1","","","","5","","","3","","","4","","","","4","0","0","","1","","1","","","","5","","","3","","","4","","","","3","0","0","","1","","1","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","76","6","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","77","5","","0","0","0","","0","0","0","","0","0","0","","0","0","0","18","24","30","24","","","","","6","6","6","0","6","6","6","6","6","6","6","12","0","0","0","êÿâHÇÕ","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","654","74.0","C:\Documents and Settings\Administrator\ÉfÉXÉNÉgÉbÉv\êÿâHé ê^\8.jpg","D:\SuperNATM\Standard\ManagePc\Data\Master\temp\TMP0008.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\paint\P1c0008.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P2c0008.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P3c0008.JPG","2","2007","1","17","654","74","8","8","çBå˚-2(ífîMçﬁÇ†ÇËÅj","10","çªä‚","","2","31","AGF","","","","","","","","","","4","","","4","","","4","","","","4","0","0","","1","","1","","","","4","","","3","","","4","","","","4","0","0","","1","","1","","","","4","","","4","","","4","","","","3","0","0","","1","","1","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","74","8","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","75","7","","0","0","0","","0","0","0","","0","0","0","","0","0","0","25","31","31","29.5","","","","","13","13","13","0","6","0","6","6","6","6","6","12","0","0","0","êÿâHÇÕ","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","654","72.0","C:\Documents and Settings\Administrator\ÉfÉXÉNÉgÉbÉv\êÿâHé ê^\10.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\temp\TMP0010.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\paint\P1c0010.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P2c0010.JPG","D:\SuperNATM\Standard\ManagePc\Data\Master\expand\P3c0010.JPG","2","2007","1","18","654","72","10","10","çBå˚-2(ífîMçﬁÇ†ÇËÅj","10","çªä‚","","2","31","AGF","","","","","","","","","","4","","","4","","","4","","","","4","0","0","","2","","2","","","","5","","","4","","","4","","","","4","0","0","","1","","1","","","","3","","","4","","","3","","","","3","0","0","","1","","1","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","72","10","çBå˚-2(ífîMçﬁÇ†ÇËÅj","654","73","9","","0","0","8","","0","0","7","","0","0","6","","0","0","5","20","18","43","24.75","","","","","13","6","19","0","0","0","6","6","12","6","6","12","-5","0","0","êÿâHÇÕ","",""
