"Œﬂ≤›ƒñºèÃ","ãóó£(m)","Çwç¿ïW(m)","Çxç¿ïW(m)","çÇÇ≥(m)","ï˚à (deg)","ÀﬂØ¡›∏ﬁ(deg)"
"5647+2.000      ",0,-173907.177044209,-1159.59349793703,24.2673879519123,308.037694474012,1.52370843111758
"5647+1.000      ",1,-173906.56086444,-1160.38110348095,24.2939879519123,308.037694474012,1.52370843111758
"5647+0.000      ",2,-173905.944684672,-1161.16870902487,24.3205879519123,308.037694474012,1.52370843111758
"5646+9.000      ",3,-173905.328504903,-1161.9563145688,24.3471879519123,308.037694474012,1.52370843111758
"5646+8.000      ",4,-173904.712325134,-1162.74392011272,24.3737879519123,308.037694474012,1.52370843111758
"5646+7.000      ",5,-173904.096145366,-1163.53152565664,24.4003879519123,308.037694474012,1.52370843111758
"5646+6.000      ",6,-173903.479965597,-1164.31913120056,24.4269879519123,308.037694474012,1.52370843111758
"5646+5.000      ",7,-173902.863785829,-1165.10673674449,24.4535879519123,308.037694474012,1.52370843111758
"5646+4.000      ",8,-173902.24760606,-1165.89434228841,24.4801879519123,308.037694474012,1.52370843111758
"5646+3.000      ",9,-173901.631426292,-1166.68194783233,24.5067879519123,308.037694474012,1.52370843111758
"5646+2.000      ",10,-173901.015246523,-1167.46955337625,24.5333879519123,308.037694474012,1.52370843111758
"5646+1.000      ",11,-173900.399066755,-1168.25715892018,24.5599879519123,308.037694474012,1.52370843111758
"5646+0.000      ",12,-173899.782886986,-1169.0447644641,24.5865879519123,308.037694474012,1.52370843111758
"5645+9.000      ",13,-173899.166707217,-1169.83237000802,24.6131879519123,308.037694474012,1.52370843111758
"5645+8.000      ",14,-173898.550527449,-1170.61997555194,24.6397879519123,308.037694474012,1.52370843111758
"5645+7.000      ",15,-173897.93434768,-1171.40758109587,24.6663879519123,308.037694474012,1.52370843111758
"5645+6.000      ",16,-173897.318167912,-1172.19518663979,24.6929879519123,308.037694474012,1.52370843111758
"5645+5.000      ",17,-173896.701988143,-1172.98279218371,24.7195879519123,308.037694474012,1.52370843111758
"5645+4.000      ",18,-173896.085808375,-1173.77039772764,24.7461879519123,308.037694474012,1.52370843111758
"5645+3.000      ",19,-173895.469628606,-1174.55800327156,24.7727879519123,308.037694474012,1.52370843111758
"5645+2.000      ",20,-173894.853448838,-1175.34560881548,24.7993879519123,308.037694474012,1.52370843111758
"5645+1.000      ",21,-173894.237269069,-1176.1332143594,24.8259879519123,308.037694474012,1.52370843111758
"5645+0.000      ",22,-173893.6210893,-1176.92081990333,24.8525879519123,308.037694474012,1.52370843111758
"5644+9.000      ",23,-173893.004909532,-1177.70842544725,24.8791879519123,308.037694474012,1.52370843111758
"5644+8.000      ",24,-173892.388729763,-1178.49603099117,24.9057879519123,308.037694474012,1.52370843111758
"5644+7.000      ",25,-173891.772549995,-1179.28363653509,24.9323879519123,308.037694474012,1.52370843111758
"5644+6.000      ",26,-173891.156370226,-1180.07124207902,24.9589879519123,308.037694474012,1.52370843111758
"5644+5.000      ",27,-173890.540190458,-1180.85884762294,24.9855879519123,308.037694474012,1.52370843111758
"5644+4.000      ",28,-173889.924010689,-1181.64645316686,25.0121879519123,308.037694474012,1.52370843111758
"5644+3.000      ",29,-173889.30783092,-1182.43405871078,25.0387879519123,308.037694474012,1.52370843111758
"5644+2.000      ",30,-173888.691651152,-1183.22166425471,25.0653879519123,308.037694474012,1.52370843111758
"5644+1.000      ",31,-173888.075471383,-1184.00926979863,25.0919879519123,308.037694474012,1.52370843111758
"5644+0.000      ",32,-173887.459291615,-1184.79687534255,25.1185879519123,308.037694474012,1.52370843111758
"5643+9.000      ",33,-173886.843111846,-1185.58448088648,25.1451879519123,308.037694474012,1.52370843111758
"5643+8.000      ",34,-173886.226932078,-1186.3720864304,25.1717879519123,308.037694474012,1.52370843111758
"5643+7.000      ",35,-173885.610752309,-1187.15969197432,25.1983879519123,308.037694474012,1.52370843111758
"5643+6.000      ",36,-173884.994572541,-1187.94729751824,25.2249879519123,308.037694474012,1.52370843111758
"5643+5.000      ",37,-173884.378392772,-1188.73490306217,25.2515879519123,308.037694474012,1.52370843111758
"5643+4.000      ",38,-173883.762213003,-1189.52250860609,25.2781879519123,308.037694474012,1.52370843111758
"5643+3.000      ",39,-173883.146033235,-1190.31011415001,25.3047879519123,308.037694474012,1.52370843111758
"5643+2.000      ",40,-173882.529853466,-1191.09771969393,25.3313879519123,308.037694474012,1.52370843111758
"5643+1.000      ",41,-173881.913673698,-1191.88532523786,25.3579879519123,308.037694474012,1.52370843111758
"5643+0.000      ",42,-173881.297493929,-1192.67293078178,25.3845879519123,308.037694474012,1.52370843111758
"5642+9.000      ",43,-173880.681314161,-1193.4605363257,25.4111879519123,308.037694474012,1.52370843111758
"5642+8.000      ",44,-173880.065134392,-1194.24814186962,25.4377879519123,308.037694474012,1.52370843111758
"5642+7.000      ",45,-173879.448954624,-1195.03574741355,25.4643879519123,308.037694474012,1.52370843111758
"5642+6.000      ",46,-173878.832774855,-1195.82335295747,25.4909879519123,308.037694474012,1.52370843111758
"5642+5.000      ",47,-173878.216595086,-1196.61095850139,25.5175879519123,308.037694474012,1.52370843111758
"5642+4.000      ",48,-173877.600415318,-1197.39856404532,25.5441879519123,308.037694474012,1.52370843111758
"5642+3.000      ",49,-173876.984235549,-1198.18616958924,25.5707879519123,308.037694474012,1.52370843111758
"5642+2.000      ",50,-173876.368055781,-1198.97377513316,25.5973879519123,308.037694474012,1.52370843111758
"5642+1.000      ",51,-173875.751876012,-1199.76138067708,25.6239879519123,308.037694474012,1.52370843111758
"5642+0.000      ",52,-173875.135696244,-1200.54898622101,25.6505879519123,308.037694474012,1.52370843111758
"5641+9.000      ",53,-173874.519516475,-1201.33659176493,25.6771879519123,308.037694474012,1.52370843111758
"5641+8.000      ",54,-173873.903336706,-1202.12419730885,25.7037879519123,308.037694474012,1.52370843111758
"5641+7.000      ",55,-173873.287156938,-1202.91180285277,25.7303879519123,308.037694474012,1.52370843111758
"5641+6.000      ",56,-173872.670977169,-1203.6994083967,25.7569879519123,308.037694474012,1.52370843111758
"5641+5.000      ",57,-173872.054797401,-1204.48701394062,25.7835879519123,308.037694474012,1.52370843111758
"5641+4.000      ",58,-173871.438617632,-1205.27461948454,25.8101879519123,308.037694474012,1.52370843111758
"5641+3.000      ",59,-173870.822437864,-1206.06222502846,25.8367879519123,308.037694474012,1.52370843111758
"5641+2.000      ",60,-173870.206258095,-1206.84983057239,25.8633879519123,308.037694474012,1.52370843111758
"5641+1.000      ",61,-173869.590078327,-1207.63743611631,25.8899879519123,308.037694474012,1.52370843111758
"5641+0.000      ",62,-173868.973898558,-1208.42504166023,25.9165879519123,308.037694474012,1.52370843111758
"5640+9.000      ",63,-173868.357718789,-1209.21264720416,25.9431879519123,308.037694474012,1.52370843111758
"5640+8.000      ",64,-173867.741539021,-1210.00025274808,25.9697879519123,308.037694474012,1.52370843111758
"5640+7.000      ",65,-173867.125359252,-1210.787858292,25.9963879519123,308.037694474012,1.52370843111758
"5640+6.000      ",66,-173866.509179484,-1211.57546383592,26.0229879519123,308.037694474012,1.52370843111758
"5640+5.000      ",67,-173865.892999715,-1212.36306937985,26.0495879519123,308.037694474012,1.52370843111758
"5640+4.000      ",68,-173865.276819947,-1213.15067492377,26.0761879519123,308.037694474012,1.52370843111758
"5640+3.000      ",69,-173864.660640178,-1213.93828046769,26.1027879519123,308.037694474012,1.52370843111758
"5640+2.000      ",70,-173864.04446041,-1214.72588601161,26.1293879519123,308.037694474012,1.52370843111758
"5640+1.000      ",71,-173863.428280641,-1215.51349155554,26.1559879519123,308.037694474012,1.52370843111758
"5640+0.000      ",72,-173862.812100872,-1216.30109709946,26.1825879519123,308.037694474012,1.52370843111758
"5639+9.000      ",73,-173862.195921104,-1217.08870264338,26.2091879519123,308.037694474012,1.52370843111758
"5639+8.000      ",74,-173861.579741335,-1217.8763081873,26.2357879519123,308.037694474012,1.52370843111758
"5639+7.000      ",75,-173860.963561567,-1218.66391373123,26.2623879519123,308.037694474012,1.52370843111758
"5639+6.000      ",76,-173860.347381798,-1219.45151927515,26.2889879519123,308.037694474012,1.52370843111758
"5639+5.000      ",77,-173859.73120203,-1220.23912481907,26.3155879519123,308.037694474012,1.52370843111758
"5639+4.000      ",78,-173859.115022261,-1221.026730363,26.3421879519123,308.037694474012,1.52370843111758
"5639+3.000      ",79,-173858.498842492,-1221.81433590692,26.3687879519123,308.037694474012,1.52370843111758
"5639+2.000      ",80,-173857.882662724,-1222.60194145084,26.3953879519123,308.037694474012,1.52370843111758
"5639+1.000      ",81,-173857.266482955,-1223.38954699476,26.4219879519123,308.037694474012,1.52370843111758
"5639+0.000      ",82,-173856.650303187,-1224.17715253869,26.4485879519123,308.037694474012,1.52370843111758
"5638+9.000      ",83,-173856.034123418,-1224.96475808261,26.4751879519123,308.037694474012,1.52370843111758
"5638+8.000      ",84,-173855.41794365,-1225.75236362653,26.5017879519123,308.037694474012,1.52370843111758
"5638+7.000      ",85,-173854.801763881,-1226.53996917045,26.5283879519123,308.037694474012,1.52370843111758
"5638+6.000      ",86,-173854.185584113,-1227.32757471438,26.5549879519123,308.037694474012,1.52370843111758
"5638+5.000      ",87,-173853.569404344,-1228.1151802583,26.5815879519123,308.037694474012,1.52370843111758
"5638+4.000      ",88,-173852.953224575,-1228.90278580222,26.6081879519123,308.037694474012,1.52370843111758
"5638+3.000      ",89,-173852.337044807,-1229.69039134614,26.6347879519123,308.037694474012,1.52370843111758
"5638+2.000      ",90,-173851.720865038,-1230.47799689007,26.6613879519123,308.037694474012,1.52370843111758
"5638+1.000      ",91,-173851.10468527,-1231.26560243399,26.6879879519123,308.037694474012,1.52370843111758
"5638+0.000      ",92,-173850.488505501,-1232.05320797791,26.7145879519123,308.037694474012,1.52370843111758
"5637+9.000      ",93,-173849.872325733,-1232.84081352184,26.7411879519123,308.037694474012,1.52370843111758
"5637+8.000      ",94,-173849.256145964,-1233.62841906576,26.7677879519123,308.037694474012,1.52370843111758
"5637+7.000      ",95,-173848.639966196,-1234.41602460968,26.7943879519123,308.037694474012,1.52370843111758
"5637+6.000      ",96,-173848.023786427,-1235.2036301536,26.8209879519123,308.037694474012,1.52370843111758
"5637+5.000      ",97,-173847.407606658,-1235.99123569753,26.8475879519123,308.037694474012,1.52370843111758
"5637+4.000      ",98,-173846.79142689,-1236.77884124145,26.8741879519123,308.037694474012,1.52370843111758
"5637+3.000      ",99,-173846.175247121,-1237.56644678537,26.9007879519123,308.037694474012,1.52370843111758
"5637+2.000      ",100,-173845.559067353,-1238.35405232929,26.9273879519123,308.037694474012,1.52370843111758
"5637+1.000      ",101,-173844.942887584,-1239.14165787322,26.9539879519123,308.037694474012,1.52370843111758
"5637+0.000      ",102,-173844.326707816,-1239.92926341714,26.9805879519123,308.037694474012,1.52370843111758
"5636+9.000      ",103,-173843.710528047,-1240.71686896106,27.0071879519123,308.037694474012,1.52370843111758
"5636+8.000      ",104,-173843.094348278,-1241.50447450498,27.0337879519123,308.037694474012,1.52370843111758
"5636+7.000      ",105,-173842.47816851,-1242.29208004891,27.0603879519123,308.037694474012,1.52370843111758
"5636+6.000      ",106,-173841.861988741,-1243.07968559283,27.0869879519123,308.037694474012,1.52370843111758
"5636+5.000      ",107,-173841.245808973,-1243.86729113675,27.1135879519123,308.037694474012,1.52370843111758
"5636+4.000      ",108,-173840.629629204,-1244.65489668068,27.1401879519123,308.037694474012,1.52370843111758
"5636+3.000      ",109,-173840.013449436,-1245.4425022246,27.1667879519123,308.037694474012,1.52370843111758
"5636+2.000      ",110,-173839.397269667,-1246.23010776852,27.1933879519123,308.037694474012,1.52370843111758
"5636+1.000      ",111,-173838.781089899,-1247.01771331244,27.2199879519123,308.037694474012,1.52370843111758
"5636+0.000      ",112,-173838.16491013,-1247.80531885637,27.2465879519123,308.037694474012,1.52370843111758
"5635+9.000      ",113,-173837.548730361,-1248.59292440029,27.2731879519123,308.037694474012,1.52370843111758
"5635+8.000      ",114,-173836.932550593,-1249.38052994421,27.2997879519123,308.037694474012,1.52370843111758
"5635+7.000      ",115,-173836.316370824,-1250.16813548813,27.3263879519123,308.037694474012,1.52370843111758
"5635+6.000      ",116,-173835.700191056,-1250.95574103206,27.3529879519123,308.037694474012,1.52370843111758
"5635+5.000      ",117,-173835.084011287,-1251.74334657598,27.3795879519123,308.037694474012,1.52370843111758
"5635+4.000      ",118,-173834.467831519,-1252.5309521199,27.4061879519123,308.037694474012,1.52370843111758
"5635+3.000      ",119,-173833.85165175,-1253.31855766382,27.4327879519123,308.037694474012,1.52370843111758
"5635+2.000      ",120,-173833.235471982,-1254.10616320775,27.4593879519123,308.037694474012,1.52370843111758
"5635+1.000      ",121,-173832.619292213,-1254.89376875167,27.4859879519123,308.037694474012,1.52370843111758
"5635+0.000      ",122,-173832.003112444,-1255.68137429559,27.5125879519123,308.037694474012,1.52370843111758
"5634+9.000      ",123,-173831.386932676,-1256.46897983951,27.5391879519123,308.037694474012,1.52370843111758
"5634+8.000      ",124,-173830.770752907,-1257.25658538344,27.5657879519123,308.037694474012,1.52370843111758
"5634+7.000      ",125,-173830.154573139,-1258.04419092736,27.5923879519123,308.037694474012,1.52370843111758
"5634+6.000      ",126,-173829.53839337,-1258.83179647128,27.6189879519123,308.037694474012,1.52370843111758
"5634+5.000      ",127,-173828.922213602,-1259.61940201521,27.6455879519123,308.037694474012,1.52370843111758
"5634+4.000      ",128,-173828.306033833,-1260.40700755913,27.6721879519123,308.037694474012,1.52370843111758
"5634+3.000      ",129,-173827.689854064,-1261.19461310305,27.6987879519123,308.037694474012,1.52370843111758
"5634+2.000      ",130,-173827.073674296,-1261.98221864697,27.7253879519123,308.037694474012,1.52370843111758
"5634+1.000      ",131,-173826.457494527,-1262.7698241909,27.7519879519123,308.037694474012,1.52370843111758
"5634+0.000      ",132,-173825.841314759,-1263.55742973482,27.7785879519123,308.037694474012,1.52370843111758
"5633+9.000      ",133,-173825.22513499,-1264.34503527874,27.8051879519123,308.037694474012,1.52370843111758
"5633+8.000      ",134,-173824.608955222,-1265.13264082266,27.8317879519123,308.037694474012,1.52370843111758
"5633+7.000      ",135,-173823.992775453,-1265.92024636659,27.8583879519123,308.037694474012,1.52370843111758
"5633+6.000      ",136,-173823.376595685,-1266.70785191051,27.8849879519123,308.037694474012,1.52370843111758
"5633+5.000      ",137,-173822.760415916,-1267.49545745443,27.9115879519123,308.037694474012,1.52370843111758
"5633+4.000      ",138,-173822.144236147,-1268.28306299836,27.9381879519123,308.037694474012,1.52370843111758
"5633+3.000      ",139,-173821.528056379,-1269.07066854228,27.9647879519123,308.037694474012,1.52370843111758
"5633+2.000      ",140,-173820.91187661,-1269.8582740862,27.9913879519123,308.037694474012,1.52370843111758
"5633+1.000      ",141,-173820.295696842,-1270.64587963012,28.0179879519123,308.037694474012,1.52370843111758
"5633+0.000      ",142,-173819.679517073,-1271.43348517405,28.0445879519123,308.037694474012,1.52370843111758
"5632+9.000      ",143,-173819.063337305,-1272.22109071797,28.0711879519123,308.037694474012,1.52370843111758
"5632+8.000      ",144,-173818.447157536,-1273.00869626189,28.0977879519123,308.037694474012,1.52370843111758
"5632+7.000      ",145,-173817.830977768,-1273.79630180581,28.1243879519123,308.037694474012,1.52370843111758
"5632+6.000      ",146,-173817.214797999,-1274.58390734974,28.1509879519123,308.037694474012,1.52370843111758
"5632+5.000      ",147,-173816.59861823,-1275.37151289366,28.1775879519123,308.037694474012,1.52370843111758
"5632+4.000      ",148,-173815.982438462,-1276.15911843758,28.2041879519123,308.037694474012,1.52370843111758
"5632+3.000      ",149,-173815.366258693,-1276.9467239815,28.2307879519123,308.037694474012,1.52370843111758
"5632+2.000      ",150,-173814.750078925,-1277.73432952543,28.2573879519123,308.037694474012,1.52370843111758
"5632+1.000      ",151,-173814.133899156,-1278.52193506935,28.2839879519123,308.037694474012,1.52370843111758
"5632+0.000      ",152,-173813.517719388,-1279.30954061327,28.3105879519123,308.037694474012,1.52370843111758
"5631+9.000      ",153,-173812.901539619,-1280.09714615719,28.3371879519123,308.037694474012,1.52370843111758
"5631+8.000      ",154,-173812.285359851,-1280.88475170112,28.3637879519123,308.037694474012,1.52370843111758
"5631+7.000      ",155,-173811.669180082,-1281.67235724504,28.3903879519123,308.037694474012,1.52370843111758
"5631+6.000      ",156,-173811.053000313,-1282.45996278896,28.4169879519123,308.037694474012,1.52370843111758
"5631+5.000      ",157,-173810.436820545,-1283.24756833289,28.4435879519123,308.037694474012,1.52370843111758
"5631+4.000      ",158,-173809.820640776,-1284.03517387681,28.4701879519123,308.037694474012,1.52370843111758
