ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
196,196,SP 56+276.000,195.993017578125,197,2014/05/22 19:10:03,2014/05/22 19:53:53,2014/05/22 19:15:02,2014/05/28 17:20:48,2014/05/23 19:19:44,1899/12/30 00:00:00,1899/12/30 00:00:00,-173786.087750072,-1313.48034584188,36.1760196222442,-173791.140601722,-1317.40517376318,32.072864893648,-173781.792577457,-1310.18788655016,32.0772910917413,-173791.151948735,-1317.57721747379,29.5861738571698,-173781.651281433,-1310.09646070911,29.6028424065523,,,,,,,-173786.084519275,-1313.47798111045,36.1707989332167,-173791.143779114,-1317.40696489329,32.0699167169895,-173781.791257732,-1310.18623845287,32.07756826103,-173791.151948735,-1317.57721747379,29.5861738571698,-173781.647651704,-1310.09242600517,29.6023552710026,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
196,196,SP 56276.000,2014/05/22 16:15:00,195.993,196.313,0,0,0,,,,0,0,0,0,0,0,,,0,0,-173786.0878,-1313.4803,36.176,,,,-173781.7926,-1310.1879,32.0773,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/22 19:53:00,195.993,197.221,-1,-1.5,-0.8,,,,0,0,0,-1.1,-1.6,-0.3,,,0,0,,,,-173791.1406,-1317.4052,32.0729,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.1,-1.6,-0.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/23 08:03:00,0,200.131,-1.2,-2,-1,0,,,0,0,0,-1.5,-2,-0.8,0,0,0,0,-173786.0898,-1313.4824,36.1719,-173791.1438,-1317.407,32.0699,-173781.7952,-1310.1904,32.0755,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.5,-2,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/23 19:19:00,195.993,201.54,-1.3,-2,-1.1,-0.5,0,,0,0,0,-1.6,-2.2,-0.9,-1.2,-0.5,0,0,,,,,,,,,,,,,-173781.6513,-1310.0965,29.6028,,,,,,,0,0,0,0,0,0,0,,,-1.6,-2.2,-0.9,-1.2,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/24 19:21:00,195.993,203,-1.4,-2,-1.2,-0.7,0,,0,0,0,-2.4,-2.3,-0.8,-1.3,-0.5,0,0,,,,,,,,,,,,,-173781.6513,-1310.0965,29.6028,,,,,,,0,0,0,0,0,0,0,,,-2.4,-2.3,-0.8,-1.3,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/26 19:21:00,195.993,205.058,-1.5,-2.1,-1.3,-0.6,0,,0,0,0,-3.6,-2.4,-0.8,-1.3,-0.6,0,0,,,,,,,,,,,,,-173781.6513,-1310.0965,29.6028,,,,,,,0,0,0,0,0,0,0,,,-3.6,-2.4,-0.8,-1.3,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/27 18:28:00,195.993,209.867,-1.6,-2.3,-1.5,-0.5,,-2.7,0,0,0,-3.7,-2.4,-1,-1.4,-0.5,0,0,-173786.0845,-1313.478,36.1708,,,,-173781.7913,-1310.1862,32.0776,,,,-173781.6477,-1310.0924,29.6024,,,,,,,0,0,0,0,0,0,0,,,-3.7,-2.4,-1,-1.4,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/28 17:20:00,195.993,215.583,-1.8,-2.5,-1.9,-0.5,,,0,0,0,-3.9,-2.4,-0.6,-1.4,-0.6,0,0,,,,,,,,,,-173791.1519,-1317.5772,29.5862,,,,,,,,,,0,0,0,0,0,0,0,,,-3.9,-2.4,-0.6,-1.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/29 18:34:00,195.993,221.41,-1.8,-2.5,-2,-0.7,,-2.3,0,0,0,-4,-2.6,-0.6,-1.5,-0.5,0,0,-173786.0854,-1313.4786,36.1715,,,,-173781.7905,-1310.1854,32.0773,,,,-173781.6476,-1310.0928,29.6033,,,,,,,0,0,0,0,0,0,0,,,-4,-2.6,-0.6,-1.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,SP 56+276.000,2014/05/31 18:15:00,195.993,227,-1.9,-2.7,-2.3,-0.8,,-2.5,0,0,0,-4.3,-2.7,-0.6,-1.6,-0.7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3,-2.7,-0.6,-1.6,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
