ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
597,595,SP 5587+7.000,593.904833984375,596.6,2014/10/07 20:02:54,2014/10/07 20:00:03,2014/10/07 20:02:35,2014/10/16 16:59:21,2014/10/09 09:31:35,1899/12/30 00:00:00,1899/12/30 00:00:00,-173540.767425188,-1626.77683334824,46.6234299047611,-173545.879297935,-1630.8306070594,42.6461525272358,-173536.673965361,-1623.55844179259,42.6245360596314,-173545.895189075,-1630.90873450024,40.3415632257006,-173536.563122978,-1623.44419300935,40.2741276771661,,,,,,,-173540.727662936,-1626.74560347557,46.6210663759617,-173545.882721212,-1630.83068486699,42.6465158681312,-173536.676059972,-1623.55920271231,42.6267918600771,-173545.895189075,-1630.90873450024,40.3415632257006,-173536.564500826,-1623.44450886932,40.2764931882967,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
597,595,SP 5587+7.000,2014/10/07 19:02:00,593.905,596.606,0,0,0,,,,0,0,0,0,0,0,,,0,0,-173540.7674,-1626.7768,46.6234,-173545.8793,-1630.8306,42.6462,-173536.674,-1623.5584,42.6245,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/08 07:12:00,593.905,598.65,-0.4,-0.3,-0.3,,,,0,0,0,-0.7,-1.5,-0.4,,,0,0,-173540.7676,-1626.7776,46.6227,-173545.8813,-1630.8319,42.6436,-173536.6737,-1623.5588,42.6245,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.7,-1.5,-0.4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/08 18:22:00,593.905,601.442,-1,-1,-0.6,0,,,0,0,0,-0.9,-1.5,-0.5,0,0,0,0,-173540.7676,-1626.7776,46.6227,-173545.8813,-1630.8319,42.6436,-173536.6737,-1623.5588,42.6245,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.9,-1.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/09 09:39:00,593.905,604.6,-1.5,-1.2,-0.7,-1,,,0,0,0,-1.1,-1.6,-0.9,-0.2,-0.4,0,0,,,,-173545.8815,-1630.8311,42.6435,,,,-173545.9985,-1630.964,40.3338,,,,,,,,,,0,0,0,0,0,0,0,,,-1.1,-1.6,-0.9,-0.2,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/10 15:06:00,593.904,604.6,-1.8,-1.4,-1,-1.2,,,0,0,0,-1.3,-1.7,-1.1,-0.4,-0.6,0,0,-173540.768,-1626.7761,46.6242,-173545.8823,-1630.8306,42.6468,-173536.675,-1623.5582,42.6274,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.3,-1.7,-1.1,-0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/11 18:54:00,593.904,608.071,-2,-1.8,-1.2,-1.8,,-1.7,0,0,0,-1.4,-1.7,-1.4,-0.7,-0.9,0,0,-173540.768,-1626.7761,46.6242,-173545.8823,-1630.8306,42.6468,-173536.675,-1623.5582,42.6274,,,,-173536.5633,-1623.4436,40.2774,,,,,,,0,0,0,0,0,0,0,,,-1.4,-1.7,-1.4,-0.7,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/12 15:08:00,593.904,611.6,-2.2,-1.6,-1.2,-1.6,,,0,0,0,-1.5,-1.4,-1.6,-1,-1.1,0,0,-173540.767,-1626.775,46.6242,-173545.8815,-1630.8298,42.6465,-173536.6741,-1623.5566,42.6273,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.5,-1.4,-1.6,-1,-1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/13 19:04:00,593.904,614.617,-2.1,-1.7,-1.4,-2,,-3,0,0,0,-1.8,-1.7,-2,-1.4,-1.4,0,0,-173540.767,-1626.775,46.6242,-173545.8815,-1630.8298,42.6465,-173536.6741,-1623.5566,42.6273,,,,-173536.5644,-1623.4445,40.2766,,,,,,,0,0,0,0,0,0,0,,,-1.8,-1.7,-2,-1.4,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/14 11:38:00,593.904,618.758,-2.3,-1.6,-1.6,-2.3,,,0,0,0,-1.9,-1.7,-1.9,-1.6,-1.7,0,0,-173540.7683,-1626.7762,46.6248,-173545.8836,-1630.8312,42.6469,-173536.6746,-1623.5576,42.6273,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-1.7,-1.9,-1.6,-1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,595,SP 5587+7.000,2014/10/16 17:02:00,593.904,630.018,-2.5,-1.8,-1.2,-2.1,-0.1,-1.9,0,0,0,-2.1,-1.9,-1.7,-1.8,-2,0,0,-173540.7687,-1626.7768,46.6238,-173545.8838,-1630.8313,42.6465,-173536.6757,-1623.559,42.6265,-173545.8954,-1630.9089,40.3413,-173536.5647,-1623.4448,40.2764,,,,,,,0,0,0,0,0,0,0,,,-2.1,-1.9,-1.7,-1.8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
