ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
927,950,SP 5552+2.000,950.294970703125,636.19,1899/12/30 00:00:00,1899/12/30 00:00:00,1899/12/30 00:00:00,1899/12/30 00:00:00,2015/01/22 18:27:40,1899/12/30 00:00:00,1899/12/30 00:00:00,,,,,,,,,,,,,-173316.853777513,-1904.31470612259,49.6648915582,,,,,,,,,,,,,,,,,,,-173316.853777513,-1904.31470612259,49.6648915582,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
927,950,SP 5552+2.000,2015/01/21 07:26:00,950.453,952.508,0,0,0,,,,0,0,0,,0,,,,0,0,,,,-173326.2281,-1911.5695,52.1325,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/21 18:56:00,,955.383,-0.9,-1,-1,0,,,0,0,0,-0.5,-0.9,-0.7,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.9,-0.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/22 09:27:00,950.295,958.91,-0.7,-1.5,-1.1,0,-927,,0,0,0,-1.5,-1.8,-1.5,0,0,0,0,,,,,,,,,,,,,-173316.8538,-1904.3147,49.6649,,,,,,,0,0,0,0,0,0,0,,,-1.5,-1.8,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/22 18:28:00,950.453,960.789,-1,-1.9,-1,-0.1,,,0,0,0,-1.9,-2.2,-1.3,-0.5,-0.5,0,0,,,,,,,-173316.9643,-1904.3799,52.0916,-173326.3476,-1911.6518,49.62,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.2,-1.3,-0.5,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/23 11:21:00,950.451,964.488,-1.4,-2.1,-1,-0.4,-3.7,,0,0,0,-2.2,-1.8,-1.4,-0.7,-0.4,0,0,-173321.2894,-1907.7612,56.2533,-173326.2249,-1911.5665,52.1308,-173316.961,-1904.3768,52.093,-173326.3442,-1911.6486,49.6227,,,,,,,,,,0,0,0,0,0,0,0,,,-2.2,-1.8,-1.4,-0.7,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/24 17:17:00,950.45,970.685,-1.4,-1.6,-1.5,-0.6,,,0,0,0,-2.1,-2.5,-1.8,-1,-0.5,0,0,-173321.299,-1907.7663,56.2559,,,,-173316.9693,-1904.3825,52.0956,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.1,-2.5,-1.8,-1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/25 18:19:00,950.45,972.4,-1.4,-1.6,-1.5,-0.6,,,0,0,0,-2.1,-2.5,-1.8,-1,-0.5,0,0,-173321.299,-1907.7663,56.2559,,,,-173316.9693,-1904.3825,52.0956,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.1,-2.5,-1.8,-1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/26 09:58:00,950.449,972.894,-1.6,-1.5,-1.4,-0.4,,,0,0,0,-2.1,-2.2,-1.7,-1,-0.5,0,0,-173321.2998,-1907.7666,56.2555,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.1,-2.2,-1.7,-1,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/28 17:27:00,971.871,984.013,-1.9,-1.9,-1,-0.4,,,0,0,0,-2.9,-2.4,-2.7,-1.3,-0.9,0,0,-173308.0922,-1924.6344,56.735,,,,-173316.9643,-1904.384,52.0741,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.9,-2.4,-2.7,-1.3,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,950,SP 5552+2.000,2015/01/30 17:57:00,971.87,996.138,-1.6,-1.9,-1.1,-0.4,,,0,0,0,-2.8,-2.6,-2.6,-1.3,-0.8,0,0,-173308.0932,-1924.6352,56.7342,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.8,-2.6,-2.6,-1.3,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
