ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,初期値計測日時1,初期値計測日時2,初期値計測日時3,初期値計測日時4,初期値計測日時5,初期値計測日時6,初期値計測日時7,初期X座標1,初期Y座標1,初期Z座標1,初期X座標2,初期Y座標2,初期Z座標2,初期X座標3,初期Y座標3,初期Z座標3,初期X座標4,初期Y座標4,初期Z座標4,初期X座標5,初期Y座標5,初期Z座標5,初期X座標6,初期Y座標6,初期Z座標6,初期X座標7,初期Y座標7,初期Z座標7,最終X座標1,最終Y座標1,最終Z座標1,最終X座標2,最終Y座標2,最終Z座標2,最終X座標3,最終Y座標3,最終Z座標3,最終X座標4,最終Y座標4,最終Z座標4,最終X座標5,最終Y座標5,最終Z座標5,最終X座標6,最終Y座標6,最終Z座標6,最終X座標7,最終Y座標7,最終Z座標7
1191,1213,SP 5525+9.000,1212.32319335938,636.19,2015/03/30 19:27:20,2015/03/30 19:28:01,2015/04/02 20:48:51,2015/04/02 21:19:36,1899/12/30 00:00:00,1899/12/30 00:00:00,1899/12/30 00:00:00,-173159.893431831,-2113.97983862671,63.3644974981558,-173164.922684116,-2118.12453458415,59.1574392198632,-173155.421937788,-2110.56936847673,59.1637491347613,-173164.966057442,-2118.17061665453,56.1652741407017,,,,,,,,,,-173159.897290598,-2113.98280685696,63.3634684991008,-173164.925450505,-2118.12456796487,59.1560309041408,-173155.421937788,-2110.56936847673,59.1637491347613,-173164.966057442,-2118.17061665453,56.1652741407017,,,,,,,,,,

ｻｲｸﾙNo,TD(m),STA,計測日時,実TD,切羽TD,変位量A,変位量B,変位量C,変位量D,変位量E,変位量F,変位量G,変位量H,変位量I,沈下量1,沈下量2,沈下量3,沈下量4,沈下量5,沈下量6,沈下量7,X座標1,Y座標1,Z座標1,X座標2,Y座標2,Z座標2,X座標3,Y座標3,Z座標3,X座標4,Y座標4,Z座標4,X座標5,Y座標5,Z座標5,X座標6,Y座標6,Z座標6,X座標7,Y座標7,Z座標7,変位量ｵﾌｾｯﾄA,変位量ｵﾌｾｯﾄB,変位量ｵﾌｾｯﾄC,変位量ｵﾌｾｯﾄD,変位量ｵﾌｾｯﾄE,変位量ｵﾌｾｯﾄF,変位量ｵﾌｾｯﾄG,変位量ｵﾌｾｯﾄH,変位量ｵﾌｾｯﾄI,沈下量ｵﾌｾｯﾄ1,沈下量ｵﾌｾｯﾄ2,沈下量ｵﾌｾｯﾄ3,沈下量ｵﾌｾｯﾄ4,沈下量ｵﾌｾｯﾄ5,沈下量ｵﾌｾｯﾄ6,沈下量ｵﾌｾｯﾄ7,dRX1,dRX2,dRX3,dRX4,dRX5,dRX6,dRX7,dRY1,dRY2,dRY3,dRY4,dRY5,dRY6,dRY7
1191,1213,SP 5525+9.000,2015/03/30 19:28:00,1212.323,1211.939,0,0,0,,,,0,0,0,0,0,0,,,0,0,-173159.8934,-2113.9798,63.3645,-173164.9227,-2118.1245,59.1574,-173155.4263,-2110.5655,59.1712,,,,,,,,,,,,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/03/31 07:02:00,1212.323,1212.903,-0.7,-0.4,-0.9,,,,0,0,0,-0.2,-0.4,-0.5,,,0,0,-173159.8957,-2113.9809,63.365,-173164.9235,-2118.1244,59.1581,-173155.4276,-2110.5662,59.1705,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.2,-0.4,-0.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/03/31 19:04:00,1212.323,1213.906,-1.7,-0.8,-1.1,,,,0,0,0,-0.4,-0.6,-0.8,,,0,0,-173159.8957,-2113.9809,63.365,-173164.9235,-2118.1244,59.1581,-173155.4276,-2110.5662,59.1705,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.4,-0.6,-0.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/01 07:23:00,1212.323,1214.932,-2.6,-1.4,-2.1,,,,0,0,0,-0.9,-0.7,-1.1,,,0,0,-173159.8913,-2113.9784,63.3636,-173164.9174,-2118.1208,59.1561,-173155.4254,-2110.5645,59.1712,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-0.9,-0.7,-1.1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/01 19:36:00,1212.323,1215.95,-2.5,-1.6,-2.2,,,,0,0,0,-1.1,-1,-0.9,,,0,0,-173159.8913,-2113.9784,63.3636,-173164.9174,-2118.1208,59.1561,-173155.4254,-2110.5645,59.1712,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.1,-1,-0.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/02 20:49:00,1212.323,1218.627,-2.3,-1.5,-2,0,,,0,0,0,-1,-1.2,-1.5,0,0,0,0,-173159.8973,-2113.9828,63.3635,,,,-173155.4219,-2110.5694,59.1637,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1,-1.2,-1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/03 19:47:00,1212.323,1220.433,-2.4,-1.8,-2.6,-0.8,-5,,0,0,0,-1.1,-1.4,-1.6,-0.2,-0.3,0,0,-173159.8944,-2113.9808,63.3634,-173164.9216,-2118.1226,59.1554,,,,-173164.9625,-2118.1676,56.1653,,,,,,,,,,0,0,0,0,0,0,0,,,-1.1,-1.4,-1.6,-0.2,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/04 18:10:00,1212.341,1220.9,-2.5,-1.9,-2.4,-1.4,,,0,0,0,-1.2,-1.3,-1.5,-0.4,-0.6,0,0,-173159.8829,-2113.9942,63.3655,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.2,-1.3,-1.5,-0.4,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/06 20:17:00,1212.339,1220.9,-2.7,-2.1,-2.3,-1.7,-2.9,,0,0,0,-1.2,-1.4,-1.6,-0.3,-0.8,0,0,-173159.8839,-2113.9922,63.365,-173164.922,-2118.1228,59.156,,,,-173164.9625,-2118.1691,56.1659,,,,,,,,,,0,0,0,0,0,0,0,,,-1.2,-1.4,-1.6,-0.3,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/07 19:14:00,1212.336,1221.919,-2.9,-2,-2.5,-1.6,-3.3,,0,0,0,-1.3,-1.3,-1.6,-0.2,-0.6,0,0,-173159.8854,-2113.9899,63.3658,-173164.9211,-2118.1224,59.1562,,,,-173164.9607,-2118.1674,56.1651,,,,,,,,,,0,0,0,0,0,0,0,,,-1.3,-1.3,-1.6,-0.2,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/10 18:07:00,1212.323,1224.9,-2.6,-2.3,-3,-1.7,-4.6,,0,0,0,-1.6,-2.1,-1.8,-0.5,-0.7,0,0,-173159.8937,-2113.9803,63.3629,-173164.9209,-2118.1221,59.1554,,,,-173164.9637,-2118.1675,56.1661,,,,,,,,,,0,0,0,0,0,0,0,,,-1.6,-2.1,-1.8,-0.5,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/11 17:06:00,1212.324,1224.9,-3,-2.3,-2.8,-1.5,,,0,0,0,-1.9,-2.4,-1.9,-1,-0.6,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.4,-1.9,-1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/13 18:11:00,1212.324,1224.9,-2.8,-2.5,-3,-1.6,,,0,0,0,-1.9,-2.4,-1.9,-1,-0.6,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.4,-1.9,-1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/15 17:33:00,1212.324,1224.9,-3,-2.3,-2.8,-1.5,,,0,0,0,-1.9,-2.4,-1.9,-1,-0.6,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.4,-1.9,-1,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/18 17:06:00,1212.324,1226.9,-2.9,-2.8,-2.7,-1.8,,,0,0,0,-2.2,-2.7,-1.4,-1.5,-0.8,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-2.2,-2.7,-1.4,-1.5,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/04/25 18:25:00,1212.324,1226.9,-3,-2.8,-3.1,-1.8,,,0,0,0,-1.9,-2.4,-1.8,-1.3,-0.7,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.4,-1.8,-1.3,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/05/08 07:14:00,1212.324,1226.9,-3,-2.7,-3,-1.7,,,0,0,0,-1.9,-2.6,-1.9,-1.4,-0.9,0,0,-173159.8947,-2113.9816,63.3623,-173164.9756,-2118.0346,59.1499,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,-1.9,-2.6,-1.9,-1.4,-0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/05/22 07:53:00,1212.324,1226.9,-3.1,-3.1,-2.9,-1.8,,,0,0,0,-2.2,-2.4,-1.8,-1.2,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,-2.4,-1.8,-1.2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/06/05 07:21:00,1212.324,1226.9,-3.2,-2.8,-3.1,-1.8,,,0,0,0,-2.1,-2.8,-2.2,-1.5,-0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,-2.8,-2.2,-1.5,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/06/19 06:31:00,1212.324,1226.9,-3.1,-3,-3.2,-2.1,,,0,0,0,-2.2,-3,-1.9,-1.3,-0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,-3,-1.9,-1.3,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191,1213,SP 5525+9.000,2015/07/03 08:04:00,1212.324,1226.9,-3.4,-3,-3.4,-1.6,,,0,0,0,-2.4,-2.7,-2,-1.7,-1.4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-2.7,-2,-1.7,-1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
