,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,変位量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終変位量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
0,2014-02-07,6.0,6.0,SP 56+466.000,5.987,7.317,1.33,0,-0.1,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,-2.6999999999999997,0,0,0,0,1,-1,-1,-2.8434999999999957,train
1,2014-02-08,6.0,6.0,SP 56+466.000,5.993,8.2405,2.2535000000000007,1,-0.8,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,-1.9999999999999998,0,0,0,0,1,-1,-1,-2.326,train
2,2014-02-10,6.0,6.0,SP 56+466.000,0.0,10.313,4.3260000000000005,3,-1.2,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,-1.5999999999999999,0,0,0,0,1,-1,-1,-1.7762142857142846,train
3,2014-02-11,6.0,6.0,SP 56+466.000,5.974,13.1695,7.182499999999999,4,-1.6,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,-1.1999999999999997,0,0,0,0,1,-1,-1,-1.405,train
4,2014-02-12,6.0,6.0,SP 56+466.000,5.974,16.091,10.104000000000001,5,-2.3,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,-0.5,0,0,0,0,1,-1,-1,-0.6535000000000001,train
5,2014-02-13,6.0,6.0,SP 56+466.000,5.973,18.814,12.827,6,-2.8,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,0.0,0,0,0,0,1,-1,-1,-0.3295000000000001,train
6,2014-02-14,6.0,6.0,SP 56+466.000,5.975,22.1,16.113,7,-3.1,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,0.30000000000000027,0,0,0,0,1,-1,-1,-0.007499999999999796,train
7,2014-02-15,6.0,6.0,SP 56+466.000,5.894,22.1,16.113,8,-3.0,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,0.20000000000000018,0,0,0,0,1,-1,-1,0.0660000000000002,train
8,2014-02-17,6.0,6.0,SP 56+466.000,5.971,22.56,16.573,10,-3.3,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,0.5,0,0,0,0,1,-1,-1,0.19216666666666668,train
9,2014-02-18,6.0,6.0,SP 56+466.000,5.971,24.529,18.542,11,-3.7,200,250,8.0,4.000,390,1.84,2.0,32.0,20.0,,,,無,坑口（断）,坑口（断）,6.0,3.0,4.0,4.0,2.0,1.0,1.0,20.0,0.9000000000000004,0,0,0,0,1,-1,-1,0.41199999999999937,train
