level_0,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,沈下量1,沈下量2,沈下量3,変位量A,変位量B,変位量C,切羽からの距離,計測経過日数,最終沈下量との差分1,最終沈下量との差分2,最終沈下量との差分3,最終変位量との差分A,最終変位量との差分B,最終変位量との差分C,index,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,左肩・圧縮強度,左肩・風化変質,左肩・割目間隔,左肩・割目状態,左肩割目の方向・平行,左肩・湧水量,左肩・劣化,左肩・評価点,天端・圧縮強度,天端・風化変質,天端・割目間隔,天端・割目状態,天端割目の方向・平行,天端・湧水量,天端・劣化,天端・評価点,右肩・圧縮強度,右肩・風化変質,右肩・割目間隔,右肩・割目状態,右肩割目の方向・平行,右肩・湧水量,右肩・劣化,右肩・評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,沈下量1_prediction,沈下量2_prediction,沈下量3_prediction,変位量A_prediction,変位量B_prediction,変位量C_prediction
0,2007-01-16,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,1.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-17.370499999999982,-20.20749999999999,-20.312666666666654,-5.547999999999999,-3.0834999999999972,-4.4719999999999995
1,2007-01-17,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,6.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-5.202499999999999,-9.141000000000004,-6.402499999999999,-2.9450000000000003,-1.5430000000000006,-3.5950000000000006
2,2007-01-18,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,11.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-3.167500000000003,-2.4075,-4.367500000000003,-1.7001666666666668,-0.7365000000000004,-2.3501666666666665
3,2007-01-19,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,16.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-2.428,-2.4754999999999994,-3.6279999999999997,-1.692000000000001,-0.7444999999999999,-2.342000000000001
4,2007-01-20,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,21.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-6.064499999999998,-6.795999999999996,-7.264499999999998,-0.8230000000000002,-0.0649999999999995,-1.473
5,2007-01-21,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,26.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-12.028,-10.560500000000003,-13.228,-0.9920000000000005,0.03299999999999981,-1.6420000000000003
6,2007-01-22,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,31.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-12.022000000000004,-10.236000000000002,-13.222000000000003,-0.9254999999999998,0.16550000000000042,-1.5754999999999997
7,2007-01-23,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,36.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-13.469000000000014,-11.1155,-14.669000000000013,-0.5845000000000005,-0.10299999999999998,-1.2345000000000004
8,2007-01-24,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,41.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-13.97400000000001,-11.317500000000004,-15.17400000000001,-1.0099999999999998,0.022499999999999853,-1.6599999999999997
9,2007-01-25,5.0,4.0,STA 654+78,4.3405000000000005,5.6530000000000005,0.95,0.3,-0.25,-0.05,1.0,-0.7,46.0,0,-26.95,-18.8,-23.85,-0.15000000000000002,-4.5,5.3,0.0,200,250,8.0,4.000,420,0.0,2.0,31.0,33.5,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,4.0,3.0,3.0,4.0,0.0,1.0,1.0,37.0,5.0,3.0,4.0,3.0,0.0,1.0,1.0,30.0,,,,,坑口-2(断熱材あり）,,-14.376000000000008,-11.483000000000006,-15.576000000000008,-0.9175000000000003,-0.2729999999999997,-1.5675000000000003
