level_0,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,沈下量1,沈下量2,沈下量3,変位量A,変位量B,変位量C,切羽からの距離,計測経過日数,最終沈下量との差分1,最終沈下量との差分2,最終沈下量との差分3,最終変位量との差分A,最終変位量との差分B,最終変位量との差分C,index,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,左肩・圧縮強度,左肩・風化変質,左肩・割目間隔,左肩・割目状態,左肩割目の方向・平行,左肩・湧水量,左肩・劣化,左肩・評価点,天端・圧縮強度,天端・風化変質,天端・割目間隔,天端・割目状態,天端割目の方向・平行,天端・湧水量,天端・劣化,天端・評価点,右肩・圧縮強度,右肩・風化変質,右肩・割目間隔,右肩・割目状態,右肩割目の方向・平行,右肩・湧水量,右肩・劣化,右肩・評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,沈下量1_prediction,沈下量2_prediction,沈下量3_prediction,変位量A_prediction,変位量B_prediction,変位量C_prediction
0,2014-02-07,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,1.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-7.356500000000007,-7.456500000000006,-7.6565000000000065,-3.9320000000000035,-3.8820000000000032,-3.9820000000000033
1,2014-02-08,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,6.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-9.451500000000006,-9.551500000000006,-9.751500000000005,1.8225000000000005,1.8725000000000005,1.7725000000000006
2,2014-02-09,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,11.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-2.9303333333333357,-3.0303333333333358,-3.230333333333336,-1.7355000000000012,-1.685500000000001,-1.785500000000001
3,2014-02-10,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,16.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-2.538000000000001,-2.6380000000000012,-2.838000000000001,-0.9090000000000001,-0.8590000000000002,-0.9590000000000002
4,2014-02-11,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,21.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-5.675500000000001,-5.775500000000001,-5.975500000000001,-0.7359999999999997,-0.6859999999999997,-0.7859999999999997
5,2014-02-12,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,26.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-6.136999999999995,-6.236999999999995,-6.436999999999995,-0.8345000000000001,-0.7845000000000002,-0.8845000000000002
6,2014-02-13,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,31.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-5.023999999999999,-5.123999999999999,-5.323999999999999,-0.7604999999999998,-0.7104999999999999,-0.8104999999999999
7,2014-02-14,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,36.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-4.627499999999998,-4.727499999999997,-4.9274999999999975,-0.23449999999999993,-0.18449999999999994,-0.2844999999999999
8,2014-02-15,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,41.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.6604999999999968,-3.760499999999997,-3.960499999999997,-0.7515000000000001,-0.7015000000000001,-0.8015000000000001
9,2014-02-16,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,46.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.547499999999997,-3.6474999999999973,-3.8474999999999975,-0.6795000000000003,-0.6295000000000004,-0.7295000000000004
10,2014-02-17,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,51.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.552499999999997,-3.652499999999997,-3.8524999999999974,-0.5810000000000004,-0.5310000000000005,-0.6310000000000004
11,2014-02-18,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,56.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.554499999999997,-3.654499999999997,-3.854499999999997,-0.19800000000000012,-0.1480000000000001,-0.2480000000000001
12,2014-02-19,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,61.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.554499999999997,-3.654499999999997,-3.854499999999997,-0.1375,-0.08750000000000001,-0.1875
13,2014-02-20,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,66.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.554499999999997,-3.654499999999997,-3.854499999999997,-0.19699999999999998,-0.14699999999999996,-0.24699999999999997
14,2014-02-21,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,71.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.554499999999997,-3.654499999999997,-3.854499999999997,-0.22899999999999998,-0.179,-0.27899999999999997
15,2014-02-22,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,76.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.554499999999997,-3.654499999999997,-3.854499999999997,-0.12449999999999982,-0.07449999999999982,-0.17449999999999982
16,2014-02-23,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,81.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-4.947000000000003,-5.047000000000002,-5.2470000000000026,0.510499999999999,0.5604999999999989,0.4604999999999989
17,2014-02-24,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,86.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.883999999999998,-3.983999999999998,-4.183999999999998,0.15249999999999983,0.20249999999999985,0.16149999999999973
18,2014-02-25,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,91.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.7479999999999976,-3.8479999999999976,-4.047999999999997,0.17599999999999974,0.22599999999999976,0.1554999999999996
19,2014-02-26,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,96.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.7319999999999975,-3.8319999999999976,-4.031999999999997,-0.22099999999999984,-0.17099999999999982,-0.1264999999999999
20,2014-02-27,6.0,6.0,SP 56+466.000,5.987,7.317,-0.4,-0.5,-0.7,-0.1,-0.05,-0.15,101.33,0,-7.199999999999999,-4.9,-6.5,-3.0,-3.85,-3.5500000000000003,0.0,200,250,8.0,4.000,390,1.9,2.0,31.0,16.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,5.0,4.0,4.0,4.0,1.0,1.0,1.0,19.0,6.0,4.0,5.0,4.0,1.0,1.0,1.0,7.0,,,,有,坑口（断）,,-3.7319999999999975,-3.8319999999999976,-4.031999999999997,-0.5415000000000001,-0.4915000000000001,-0.5550000000000002
